-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        7.269s        64.64%        7.269s        3.635s             2                                                                                []  
ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<409...         0.00%       0.000us         0.00%       0.000us       0.000us        4.850s        43.12%        4.850s       2.749ms          1764                                                                                []  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us        3.006s        26.73%        3.006s       5.078ms           592                                                                                []  
                                     record_param_comms         0.19%      18.166ms         0.29%      27.941ms      48.510us        2.921s        25.97%        2.921s       5.071ms           576                                 [[192946432], [], [], [], [], [], [], [], [], []]  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us        1.843s        16.39%        1.843s       1.578ms          1168                                                                                []  
                                     record_param_comms         0.37%      35.650ms         0.55%      52.563ms      45.628us        1.744s        15.50%        1.744s       1.514ms          1152                                  [[24118304], [], [], [], [], [], [], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     488.137ms         4.34%     488.137ms      33.823us         14432                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     392.039ms         3.49%     392.039ms      28.257us         13874                                                                                []  
Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us     314.034ms         2.79%     314.034ms     127.242us          2468                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     282.042ms         2.51%     282.042ms      32.523us          8672                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     219.149ms         1.95%     219.149ms      30.988us          7072                                                                                []  
at::native::detail::split_with_sizes_copy_out_contig...         0.00%       0.000us         0.00%       0.000us       0.000us     218.730ms         1.94%     218.730ms     187.269us          1168                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     213.874ms         1.90%     213.874ms      30.242us          7072                                                                                []  
                            aten::split_with_sizes_copy         0.19%      18.386ms         0.54%      51.951ms      45.096us     201.255ms         1.79%     209.705ms     182.036us          1152                                                       [[8, 24118304], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     197.632ms         1.76%     197.632ms      34.311us          5760                                                                                []  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     183.398ms         1.63%     183.398ms      39.662us          4624                                                                                []  
                                   aten::_foreach_copy_         0.09%       8.469ms         0.23%      21.932ms      18.777us     175.774ms         1.56%     175.774ms     150.491us          1168                                                                      [[], [], []]  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     175.774ms         1.56%     175.774ms      72.275us          2432                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     156.299ms         1.39%     156.299ms      29.874us          5232                                                                                []  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     150.275ms         1.34%     150.275ms      43.282us          3472                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     150.174ms         1.34%     150.174ms      32.590us          4608                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     144.772ms         1.29%     144.772ms      31.174us          4644                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     144.443ms         1.28%     144.443ms      31.238us          4624                                                                                []  
void at::native::detail::chunk_cat_cuda_kernel<char,...         0.00%       0.000us         0.00%       0.000us       0.000us     144.357ms         1.28%     144.357ms     243.847us           592                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     136.646ms         1.22%     136.646ms      29.551us          4624                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 9.643s
Self CUDA time total: 11.246s

