-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        7.265s        67.39%        7.265s        3.632s             2                                                                                []  
ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<409...         0.00%       0.000us         0.00%       0.000us       0.000us        4.310s        39.98%        4.310s       2.443ms          1764                                                                                []  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us        2.493s        23.13%        2.493s       4.211ms           592                                                                                []  
                                     record_param_comms         0.18%      17.462ms         0.29%      27.708ms      48.104us        2.408s        22.34%        2.408s       4.181ms           576                                 [[192946432], [], [], [], [], [], [], [], [], []]  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us        1.817s        16.85%        1.817s       1.555ms          1168                                                                                []  
                                     record_param_comms         0.36%      34.937ms         0.54%      52.216ms      45.326us        1.718s        15.94%        1.718s       1.492ms          1152                                  [[24118304], [], [], [], [], [], [], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     490.517ms         4.55%     490.517ms      33.988us         14432                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     395.756ms         3.67%     395.756ms      28.525us         13874                                                                                []  
Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us     303.178ms         2.81%     303.178ms     122.844us          2468                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     291.212ms         2.70%     291.212ms      33.581us          8672                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     219.098ms         2.03%     219.098ms      30.981us          7072                                                                                []  
at::native::detail::split_with_sizes_copy_out_contig...         0.00%       0.000us         0.00%       0.000us       0.000us     218.855ms         2.03%     218.855ms     187.375us          1168                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     218.004ms         2.02%     218.004ms      30.826us          7072                                                                                []  
                            aten::split_with_sizes_copy         0.19%      18.721ms         0.54%      52.161ms      45.279us     202.213ms         1.88%     210.662ms     182.866us          1152                                                       [[8, 24118304], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     200.285ms         1.86%     200.285ms      34.772us          5760                                                                                []  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     187.306ms         1.74%     187.306ms      40.507us          4624                                                                                []  
                                   aten::_foreach_copy_         0.09%       8.395ms         0.23%      22.408ms      19.185us     178.306ms         1.65%     178.531ms     152.852us          1168                                                                      [[], [], []]  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     178.306ms         1.65%     178.306ms      73.317us          2432                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     167.231ms         1.55%     167.231ms      31.963us          5232                                                                                []  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     153.575ms         1.42%     153.575ms      44.232us          3472                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     150.599ms         1.40%     150.599ms      32.682us          4608                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     146.601ms         1.36%     146.601ms      31.704us          4624                                                                                []  
void at::native::detail::chunk_cat_cuda_kernel<char,...         0.00%       0.000us         0.00%       0.000us       0.000us     142.736ms         1.32%     142.736ms     241.108us           592                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     140.814ms         1.31%     140.814ms      30.322us          4644                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     137.480ms         1.28%     137.480ms      33.963us          4048                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 9.658s
Self CUDA time total: 10.780s

