-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        7.272s        65.02%        7.272s        3.636s             2                                                                                []  
ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<409...         0.00%       0.000us         0.00%       0.000us       0.000us        4.614s        41.25%        4.614s       2.615ms          1764                                                                                []  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us        2.660s        23.78%        2.660s       4.493ms           592                                                                                []  
                                     record_param_comms         0.18%      16.861ms         0.28%      25.844ms      44.868us        2.574s        23.02%        2.574s       4.469ms           576                                 [[192946432], [], [], [], [], [], [], [], [], []]  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us        1.954s        17.47%        1.954s       1.673ms          1168                                                                                []  
                                     record_param_comms         0.34%      32.374ms         0.50%      47.045ms      40.837us        1.847s        16.52%        1.848s       1.604ms          1152                                  [[24118304], [], [], [], [], [], [], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     494.485ms         4.42%     494.485ms      34.263us         14432                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     398.473ms         3.56%     398.473ms      28.721us         13874                                                                                []  
Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us     341.659ms         3.06%     341.659ms     129.025us          2648                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     291.014ms         2.60%     291.014ms      33.558us          8672                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     221.973ms         1.98%     221.973ms      31.388us          7072                                                                                []  
at::native::detail::split_with_sizes_copy_out_contig...         0.00%       0.000us         0.00%       0.000us       0.000us     220.688ms         1.97%     220.688ms     188.945us          1168                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     218.218ms         1.95%     218.218ms      30.857us          7072                                                                                []  
                            aten::split_with_sizes_copy         0.18%      17.010ms         0.50%      47.337ms      41.091us     204.491ms         1.83%     213.300ms     185.157us          1152                                                       [[8, 24118304], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     202.767ms         1.81%     202.767ms      35.203us          5760                                                                                []  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     189.153ms         1.69%     189.153ms      40.907us          4624                                                                                []  
                                   aten::_foreach_copy_         0.08%       7.654ms         0.21%      19.375ms      16.588us     175.728ms         1.57%     175.874ms     150.577us          1168                                                                      [[], [], []]  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     175.728ms         1.57%     175.728ms      72.257us          2432                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     162.562ms         1.45%     162.562ms      31.071us          5232                                                                                []  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     154.610ms         1.38%     154.610ms      44.531us          3472                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     149.367ms         1.34%     149.367ms      32.415us          4608                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     146.742ms         1.31%     146.742ms      31.598us          4644                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     145.090ms         1.30%     145.090ms      31.378us          4624                                                                                []  
void at::native::detail::chunk_cat_cuda_kernel<char,...         0.00%       0.000us         0.00%       0.000us       0.000us     141.692ms         1.27%     141.692ms     239.344us           592                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     138.620ms         1.24%     138.620ms      29.978us          4624                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 9.391s
Self CUDA time total: 11.183s

