-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        7.272s        66.88%        7.272s        3.636s             2                                                                                []  
ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<409...         0.00%       0.000us         0.00%       0.000us       0.000us        4.330s        39.83%        4.330s       2.455ms          1764                                                                                []  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us        2.401s        22.08%        2.401s       4.055ms           592                                                                                []  
                                     record_param_comms         0.18%      16.678ms         0.27%      25.478ms      44.232us        2.316s        21.30%        2.316s       4.021ms           576                                 [[192946432], [], [], [], [], [], [], [], [], []]  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us        1.930s        17.75%        1.930s       1.652ms          1168                                                                                []  
                                     record_param_comms         0.35%      32.711ms         0.50%      47.258ms      41.022us        1.824s        16.78%        1.824s       1.584ms          1152                                  [[24118304], [], [], [], [], [], [], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     492.662ms         4.53%     492.662ms      34.137us         14432                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     397.594ms         3.66%     397.594ms      28.657us         13874                                                                                []  
Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us     343.697ms         3.16%     343.697ms     129.795us          2648                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     292.153ms         2.69%     292.153ms      33.689us          8672                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     222.785ms         2.05%     222.785ms      31.502us          7072                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     221.059ms         2.03%     221.059ms      31.258us          7072                                                                                []  
at::native::detail::split_with_sizes_copy_out_contig...         0.00%       0.000us         0.00%       0.000us       0.000us     217.828ms         2.00%     217.828ms     186.497us          1168                                                                                []  
                            aten::split_with_sizes_copy         0.18%      17.147ms         0.51%      47.802ms      41.495us     201.230ms         1.85%     209.855ms     182.166us          1152                                                       [[8, 24118304], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     201.091ms         1.85%     201.091ms      34.912us          5760                                                                                []  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     187.972ms         1.73%     187.972ms      40.651us          4624                                                                                []  
                                   aten::_foreach_copy_         0.08%       7.610ms         0.20%      19.365ms      16.580us     177.176ms         1.63%     177.176ms     151.692us          1168                                                                      [[], [], []]  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     177.176ms         1.63%     177.176ms      72.852us          2432                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     165.372ms         1.52%     165.372ms      31.608us          5232                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     152.862ms         1.41%     152.862ms      33.173us          4608                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     148.786ms         1.37%     148.786ms      32.177us          4624                                                                                []  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT128x6...         0.00%       0.000us         0.00%       0.000us       0.000us     146.200ms         1.34%     146.200ms      70.187us          2083                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     143.548ms         1.32%     143.548ms      30.910us          4644                                                                                []  
void at::native::detail::chunk_cat_cuda_kernel<char,...         0.00%       0.000us         0.00%       0.000us       0.000us     142.628ms         1.31%     142.628ms     240.926us           592                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     140.551ms         1.29%     140.551ms      34.721us          4048                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 9.464s
Self CUDA time total: 10.872s

