-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        7.263s        61.94%        7.263s        3.631s             2                                                                                []  
ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<409...         0.00%       0.000us         0.00%       0.000us       0.000us        5.468s        46.63%        5.468s       3.100ms          1764                                                                                []  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us        3.434s        29.29%        3.434s       5.800ms           592                                                                                []  
                                     record_param_comms         0.19%      17.930ms         0.29%      28.070ms      48.733us        3.348s        28.56%        3.348s       5.813ms           576                                 [[192946432], [], [], [], [], [], [], [], [], []]  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us        2.034s        17.35%        2.034s       1.741ms          1168                                                                                []  
                                     record_param_comms         0.37%      35.479ms         0.54%      52.178ms      45.294us        1.939s        16.54%        1.939s       1.683ms          1152                                  [[24118304], [], [], [], [], [], [], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     481.943ms         4.11%     481.943ms      33.394us         14432                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     389.250ms         3.32%     389.250ms      28.056us         13874                                                                                []  
Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us     321.455ms         2.74%     321.455ms     121.395us          2648                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     279.874ms         2.39%     279.874ms      32.273us          8672                                                                                []  
at::native::detail::split_with_sizes_copy_out_contig...         0.00%       0.000us         0.00%       0.000us       0.000us     219.047ms         1.87%     219.047ms     187.540us          1168                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     216.036ms         1.84%     216.036ms      30.548us          7072                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     208.917ms         1.78%     208.917ms      29.541us          7072                                                                                []  
                            aten::split_with_sizes_copy         0.19%      18.575ms         0.53%      51.457ms      44.668us     201.833ms         1.72%     210.248ms     182.507us          1152                                                       [[8, 24118304], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     194.570ms         1.66%     194.570ms      33.780us          5760                                                                                []  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     178.435ms         1.52%     178.435ms      38.589us          4624                                                                                []  
                                   aten::_foreach_copy_         0.09%       8.356ms         0.23%      22.086ms      18.909us     174.225ms         1.49%     174.225ms     149.165us          1168                                                                      [[], [], []]  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     174.225ms         1.49%     174.225ms      71.639us          2432                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     152.367ms         1.30%     152.367ms      29.122us          5232                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     148.238ms         1.26%     148.238ms      32.170us          4608                                                                                []  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     145.059ms         1.24%     145.059ms      41.780us          3472                                                                                []  
void at::native::detail::chunk_cat_cuda_kernel<char,...         0.00%       0.000us         0.00%       0.000us       0.000us     144.803ms         1.24%     144.803ms     244.599us           592                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     142.249ms         1.21%     142.249ms      30.631us          4644                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     141.931ms         1.21%     141.931ms      30.695us          4624                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     136.270ms         1.16%     136.270ms      29.470us          4624                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 9.649s
Self CUDA time total: 11.724s

