-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        7.259s        65.73%        7.259s        3.630s             2                                                                                []  
ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<409...         0.00%       0.000us         0.00%       0.000us       0.000us        4.598s        41.64%        4.598s       2.607ms          1764                                                                                []  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us        2.752s        24.92%        2.752s       4.648ms           592                                                                                []  
                                     record_param_comms         0.19%      17.994ms         0.30%      29.018ms      50.378us        2.667s        24.15%        2.667s       4.630ms           576                                 [[192946432], [], [], [], [], [], [], [], [], []]  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us        1.846s        16.72%        1.846s       1.581ms          1168                                                                                []  
                                     record_param_comms         0.35%      34.285ms         0.54%      51.819ms      44.982us        1.753s        15.87%        1.753s       1.522ms          1152                                  [[24118304], [], [], [], [], [], [], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     488.411ms         4.42%     488.411ms      33.842us         14432                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     392.376ms         3.55%     392.376ms      28.281us         13874                                                                                []  
Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us     299.836ms         2.71%     299.836ms     121.489us          2468                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     289.783ms         2.62%     289.783ms      33.416us          8672                                                                                []  
at::native::detail::split_with_sizes_copy_out_contig...         0.00%       0.000us         0.00%       0.000us       0.000us     229.183ms         2.08%     229.183ms     196.218us          1168                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     223.711ms         2.03%     223.711ms      31.633us          7072                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     219.880ms         1.99%     219.880ms      31.092us          7072                                                                                []  
                            aten::split_with_sizes_copy         0.20%      19.597ms         0.56%      54.079ms      46.944us     211.112ms         1.91%     219.542ms     190.575us          1152                                                       [[8, 24118304], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     197.717ms         1.79%     197.717ms      34.326us          5760                                                                                []  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     187.157ms         1.69%     187.157ms      40.475us          4624                                                                                []  
                                   aten::_foreach_copy_         0.08%       7.917ms         0.23%      22.242ms      19.043us     177.068ms         1.60%     177.197ms     151.710us          1168                                                                      [[], [], []]  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     177.068ms         1.60%     177.068ms      72.807us          2432                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     161.818ms         1.47%     161.818ms      30.928us          5232                                                                                []  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     152.165ms         1.38%     152.165ms      43.826us          3472                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     151.752ms         1.37%     151.752ms      32.932us          4608                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     147.371ms         1.33%     147.371ms      31.871us          4624                                                                                []  
void at::native::detail::chunk_cat_cuda_kernel<char,...         0.00%       0.000us         0.00%       0.000us       0.000us     144.869ms         1.31%     144.869ms     244.711us           592                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     142.754ms         1.29%     142.754ms      30.739us          4644                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     139.144ms         1.26%     139.144ms      34.373us          4048                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 9.663s
Self CUDA time total: 11.044s

